trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instruct.started,Instruct.stopped,Training_Trial.started,Training_Trial.stopped,Shape_Trial.started,Shape_Trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.05071829189546406,1.7644847501069307,,,,,094024,001,2024-05-02_20h44.56.544,untitled,2024.1.1,None,2024-05-02 20h45.05.077421 -0400,
0,0,0,0,,,,,1.7753019998781383,,,,1.7671400839462876,3.770289917010814,,,094024,001,2024-05-02_20h44.56.544,untitled,2024.1.1,None,2024-05-02 20h45.05.077421 -0400,
1,0,1,0,,,,,3.7782183340750635,,,,3.7705277919303626,5.086466250009835,,,094024,001,2024-05-02_20h44.56.544,untitled,2024.1.1,None,2024-05-02 20h45.05.077421 -0400,
2,0,2,0,,,,,5.095216375077143,,,,5.086754624964669,6.856344209052622,,,094024,001,2024-05-02_20h44.56.544,untitled,2024.1.1,None,2024-05-02 20h45.05.077421 -0400,
3,0,3,0,,,,,6.864316791994497,,,,6.856651458889246,8.54247658397071,,,094024,001,2024-05-02_20h44.56.544,untitled,2024.1.1,None,2024-05-02 20h45.05.077421 -0400,
4,0,4,0,,,,,8.552425083937123,,,,8.542710250010714,10.073917958885431,,,094024,001,2024-05-02_20h44.56.544,untitled,2024.1.1,None,2024-05-02 20h45.05.077421 -0400,
,,,,0,0,0,0,10.085701583884656,,,,,,10.07496879203245,14.52570320898667,094024,001,2024-05-02_20h44.56.544,untitled,2024.1.1,None,2024-05-02 20h45.05.077421 -0400,
,,,,1,0,1,0,14.53762433398515,,,,,,14.525924416957423,16.425020166905597,094024,001,2024-05-02_20h44.56.544,untitled,2024.1.1,None,2024-05-02 20h45.05.077421 -0400,
,,,,2,0,2,0,16.435600749915466,,,,,,16.425735916942358,17.330257416935638,094024,001,2024-05-02_20h44.56.544,untitled,2024.1.1,None,2024-05-02 20h45.05.077421 -0400,
,,,,3,0,3,0,17.340650958940387,,,,,,17.330489666899666,18.22257741703652,094024,001,2024-05-02_20h44.56.544,untitled,2024.1.1,None,2024-05-02 20h45.05.077421 -0400,
,,,,4,0,4,0,18.23598162503913,,,,,,18.22282062494196,18.99454512493685,094024,001,2024-05-02_20h44.56.544,untitled,2024.1.1,None,2024-05-02 20h45.05.077421 -0400,
